,프로젝트번호,행번,역할,업무명,개발의뢰번호,의뢰자행번,최초일자,최종일자,기간
13333,P2020-08369-01,20051002,PM,대외계IF일괄전송,R2020-08369,20051002,2020-07-01,2020-07-17,16 days 00:00:00.000000000
13334,P2020-08369-01,15051002,개발자,대외계IF일괄전송,R2020-08369,20051002,2020-07-01,2020-07-17,16 days 00:00:00.000000000
13335,P2020-0837-01,15051004,PM,리스크분석및모니터링,R2020-0837,15051004,2020-01-30,2020-04-30,91 days 00:00:00.000000000
13336,P2020-0837-01,08051001,개발자,리스크분석및모니터링,R2020-0837,15051004,2020-01-30,2020-04-30,91 days 00:00:00.000000000
13337,P2020-0837-01,19061020,개발자,리스크분석및모니터링,R2020-0837,15051004,2020-01-30,2020-04-30,91 days 00:00:00.000000000
13338,P2020-08370-01,07061004,PM,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13339,P2020-08370-01,19021009,개발자,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13340,P2020-08370-01,19041004,개발자,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13341,P2020-08370-01,19102005,개발자,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13342,P2020-08370-01,12071002,개발자,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13343,P2020-08370-01,15021008,개발자,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13344,P2020-08370-01,17091017,개발자,보고서관리,R2020-08370,7061004,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13345,P2020-08371-01,06175619,PM,BI(Business Intelligence),R2020-08371,6182471,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13346,P2020-08371-01,10616550,개발자,BI(Business Intelligence),R2020-08371,6182471,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13347,P2020-08371-01,06183182,개발자,BI(Business Intelligence),R2020-08371,6182471,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13348,P2020-08374-01,15100881,PM,온라인서비스,R2020-08374,14200074,2020-07-08,2020-08-31,54 days 00:00:00.000000000
13349,P2020-08376-01,06217567,PM,BASEL,R2020-08376,11200900,2020-07-07,2020-07-20,13 days 00:00:00.000000000
13350,P2020-08378-01,11121005,PM,BPR여신,R2020-08378,13100912,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13351,P2020-08378-01,08101003,개발자,BPR여신,R2020-08378,13100912,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13352,P2020-08378-01,16051008,개발자,BPR여신,R2020-08378,13100912,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13353,P2020-08379-01,11051005,PM,사후관리,R2020-08379,6176585,2020-07-16,2020-07-24,8 days 00:00:00.000000000
13354,P2020-0838-01,06209998,PM,글로벌인터넷뱅킹,R2020-0838,6165907,2020-01-31,2020-03-19,48 days 00:00:00.000000000
13355,P2020-08380-01,20061903,PM,개인인터넷뱅킹(DS),R2020-08380,14200260,2020-07-07,2020-08-04,28 days 00:00:00.000000000
13356,P2020-08383-01,16101464,PM,담보,R2020-08383,9100725,2020-07-08,2020-07-24,16 days 00:00:00.000000000
13357,P2020-08384-01,06180035,PM,검사관리,R2020-08384,11102756,2020-07-07,2020-08-28,52 days 00:00:00.000000000
13358,P2020-08387-02,18073017,PM,베트남수신,R2020-08387,18602071,2020-07-08,2020-08-14,37 days 00:00:00.000000000
13359,P2020-08387-02,18113001,개발자,베트남수신,R2020-08387,18602071,2020-07-08,2020-08-14,37 days 00:00:00.000000000
13360,P2020-08387-02,19093048,개발자,베트남수신,R2020-08387,18602071,2020-07-08,2020-08-14,37 days 00:00:00.000000000
13361,P2020-08387-02,08121002,개발자,베트남수신,R2020-08387,18602071,2020-07-08,2020-08-14,37 days 00:00:00.000000000
13362,P2020-08387-03,11121002,PM,(V)외환S,R2020-08387,18602071,2020-07-10,2020-08-28,49 days 00:00:00.000000000
13363,P2020-08387-03,20013061,개발자,(V)외환S,R2020-08387,18602071,2020-07-10,2020-08-28,49 days 00:00:00.000000000
13364,P2020-08387-03,18113001,개발자,(V)외환S,R2020-08387,18602071,2020-07-10,2020-08-28,49 days 00:00:00.000000000
13365,P2020-08387-03,17052002,개발자,(V)외환S,R2020-08387,18602071,2020-07-10,2020-08-28,49 days 00:00:00.000000000
13366,P2020-0839-01,07071002,PM,정보S,R2020-0839,7071002,2020-01-30,2020-03-04,34 days 00:00:00.000000000
13367,P2020-0839-01,19011041,개발자,정보S,R2020-0839,7071002,2020-01-30,2020-03-04,34 days 00:00:00.000000000
13368,P2020-0839-01,19011050,개발자,정보S,R2020-0839,7071002,2020-01-30,2020-03-04,34 days 00:00:00.000000000
13369,P2020-0839-01,18011001,개발자,정보S,R2020-0839,7071002,2020-01-30,2020-03-04,34 days 00:00:00.000000000
13370,P2020-08390-01,14031005,PM,신한정보보호포털,R2020-08390,14031005,2020-07-08,2020-07-31,23 days 00:00:00.000000000
13371,P2020-08390-01,18011006,개발자,신한정보보호포털,R2020-08390,14031005,2020-07-08,2020-07-31,23 days 00:00:00.000000000
13372,P2020-08391-01,11121005,PM,BPR여신,R2020-08391,6182798,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13373,P2020-08391-01,08101003,개발자,BPR여신,R2020-08391,6182798,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13374,P2020-08396-01,19071009,PM,RPA,R2020-08396,11101520,2020-07-08,2020-09-30,84 days 00:00:00.000000000
13375,P2020-08396-01,19071008,개발자,RPA,R2020-08396,11101520,2020-07-08,2020-09-30,84 days 00:00:00.000000000
13376,P2020-08397-01,11103922,PM,개인상담신청,R2020-08397,6223834,2020-07-07,2020-09-21,76 days 00:00:00.000000000
13377,P2020-08397-01,07101066,개발자,개인상담신청,R2020-08397,6223834,2020-07-07,2020-09-21,76 days 00:00:00.000000000
13378,P2020-08397-01,19101295,개발자,개인상담신청,R2020-08397,6223834,2020-07-07,2020-09-21,76 days 00:00:00.000000000
13379,P2020-08397-02,06183662,PM,유동성,R2020-08397,6223834,2020-07-08,2020-09-16,70 days 00:00:00.000000000
